Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9
;;;;;;;;
1-комн. кв., 35,4 м?, 2/6 этаж;1-комн. квартира, 35,4 м?;Москва, САО, р-н Аэропорт, ул. Константина Симонова, 8К1;2 800 ?/сутки;2 из 6;35,4 м?;сегодня, 06:20;https://www.cian.ru/rent/flat/246009694/;['https://cdn-p.cian.site/images/1/520/199/posutochnaja-kvartira-moskva-ulica-konstantina-simonova-991025138-4.jpg', 'https://cdn-p.cian.site/images/1/520/199/posutochnaja-kvartira-moskva-ulica-konstantina-simonova-991025138-4.jpg', 'https://cdn-p.cian.site/images/1/520/199/posutochnaja-kvartira-moskva-ulica-konstantina-simonova-991025140-2.jpg', 'https://cdn-p.cian.site/images/1/520/199/posutochnaja-kvartira-moskva-ulica-konstantina-simonova-991025132-2.jpg', 'https://cdn-p.cian.site/images/1/520/199/posutochnaja-kvartira-moskva-ulica-konstantina-simonova-991025131-2.jpg', 'https://www.cian.ru/avatar.axd?i=26851101&t=2&p=2']
;;;;;;;;
2-комн. кв., 50 м?, 5/12 этаж;2-комн. квартира, 50 м?;Москва, ЮВАО, р-н Люблино, ул. Марьинский Парк, 35;2 000 ?/сутки;5 из 12;50 м?;сегодня, 14:52;https://www.cian.ru/rent/flat/241476779/;['https://cdn-p.cian.site/images/0/128/559/kvartira-moskva-ulica-marinskiy-park-955821017-4.jpg', 'https://cdn-p.cian.site/images/0/128/559/kvartira-moskva-ulica-marinskiy-park-955821017-4.jpg', 'https://cdn-p.cian.site/images/0/128/559/kvartira-moskva-ulica-marinskiy-park-955821044-2.jpg', 'https://cdn-p.cian.site/images/1/128/559/kvartira-moskva-ulica-marinskiy-park-955821104-2.jpg', 'https://cdn-p.cian.site/images/1/128/559/kvartira-moskva-ulica-marinskiy-park-955821155-2.jpg']
;;;;;;;;
АКЦИЯ -200 рублей от стоимости*;1-комн. квартира, 40 м?;Москва, ЮЗАО, р-н Котловка, Нагорная ул., 22К4;2 500 ?/сутки;2 из 5;40 м?;вчера, 20:14;https://www.cian.ru/rent/flat/200440002/;['https://cdn-p.cian.site/images/0/602/036/kvartira-moskva-nagornaya-ulica-630206011-4.jpg', 'https://cdn-p.cian.site/images/0/602/036/kvartira-moskva-nagornaya-ulica-630206011-4.jpg', 'https://cdn-p.cian.site/images/0/602/036/kvartira-moskva-nagornaya-ulica-630206011-2.jpg', 'https://cdn-p.cian.site/images/0/602/036/kvartira-moskva-nagornaya-ulica-630206010-2.jpg', 'https://cdn-p.cian.site/images/0/602/036/kvartira-moskva-nagornaya-ulica-630206012-2.jpg', 'https://www.cian.ru/avatar.axd?i=204822&t=2&p=2']
;;;;;;;;
1-комн. кв., 29 м?, 4/5 этаж;1-комн. квартира, 29 м?;Москва, ЦАО, р-н Красносельский, Большая Спасская ул., 29;2 700 ?/сутки;4 из 5;29 м?;сегодня, 19:56;https://www.cian.ru/rent/flat/253390957/;['https://cdn-p.cian.site/images/97/565/501/posutochnaja-kvartira-moskva-bolshaya-spasskaya-ulica-1055657952-4.jpg', 'https://cdn-p.cian.site/images/97/565/501/posutochnaja-kvartira-moskva-bolshaya-spasskaya-ulica-1055657952-4.jpg', 'https://cdn-p.cian.site/images/97/565/501/posutochnaja-kvartira-moskva-bolshaya-spasskaya-ulica-1055657952-2.jpg', 'https://cdn-p.cian.site/images/97/565/501/posutochnaja-kvartira-moskva-bolshaya-spasskaya-ulica-1055657954-2.jpg', 'https://cdn-p.cian.site/images/97/565/501/posutochnaja-kvartira-moskva-bolshaya-spasskaya-ulica-1055657957-2.jpg', 'https://www.cian.ru/avatar.axd?i=26198469&t=2&p=2']
;;;;;;;;
1-комн. кв., 28 м?, 3/5 этаж;1-комн. квартира, 28 м?;Москва, ЦАО, р-н Красносельский, Большая Спасская ул., 29;2 700 ?/сутки;3 из 5;28 м?;сегодня, 19:41;https://www.cian.ru/rent/flat/253391167/;['https://cdn-p.cian.site/images/79/565/501/posutochnaja-kvartira-moskva-bolshaya-spasskaya-ulica-1055659731-4.jpg', 'https://cdn-p.cian.site/images/79/565/501/posutochnaja-kvartira-moskva-bolshaya-spasskaya-ulica-1055659731-4.jpg', 'https://cdn-p.cian.site/images/79/565/501/posutochnaja-kvartira-moskva-bolshaya-spasskaya-ulica-1055659726-2.jpg', 'https://cdn-p.cian.site/images/79/565/501/posutochnaja-kvartira-moskva-bolshaya-spasskaya-ulica-1055659732-2.jpg', 'https://cdn-p.cian.site/images/79/565/501/posutochnaja-kvartira-moskva-bolshaya-spasskaya-ulica-1055659727-2.jpg', 'https://www.cian.ru/avatar.axd?i=26198469&t=2&p=2']
;;;;;;;;
Двушка в центре;2-комн. квартира, 45 м?;Москва, ЦАО, р-н Пресненский, ул. Красина, 24/28;3 000 ?/сутки;3 из 8;45 м?;сегодня, 19:40;https://www.cian.ru/rent/flat/243088837/;['https://cdn-p.cian.site/images/4/014/869/kvartira-moskva-ulica-krasina-968410436-4.jpg', 'https://cdn-p.cian.site/images/4/014/869/kvartira-moskva-ulica-krasina-968410436-4.jpg', 'https://cdn-p.cian.site/images/4/014/869/kvartira-moskva-ulica-krasina-968410435-2.jpg', 'https://cdn-p.cian.site/images/4/014/869/kvartira-moskva-ulica-krasina-968410434-2.jpg', 'https://cdn-p.cian.site/images/4/014/869/kvartira-moskva-ulica-krasina-968410439-2.jpg']
;;;;;;;;
Bribge to invest apartments;2-комн. апартаменты, 78 м?;Москва, ЦАО, р-н Пресненский, 1-й Красногвардейский проезд, 21с2;7 990 ?/сутки;42 из 85;78 м?;сегодня, 19:55;https://www.cian.ru/rent/flat/221577864/;['https://cdn-p.cian.site/images/6/637/197/kvartira-moskva-1y-krasnogvardeyskiy-proezd-791736648-4.jpg', 'https://cdn-p.cian.site/images/6/637/197/kvartira-moskva-1y-krasnogvardeyskiy-proezd-791736648-4.jpg', 'https://cdn-p.cian.site/images/7/637/197/kvartira-moskva-1y-krasnogvardeyskiy-proezd-791736726-2.jpg', 'https://cdn-p.cian.site/images/5/637/197/kvartira-moskva-1y-krasnogvardeyskiy-proezd-791736532-2.jpg', 'https://cdn-p.cian.site/images/2/637/197/kvartira-moskva-1y-krasnogvardeyskiy-proezd-791736268-2.jpg']
;;;;;;;;
1-комн. кв., 40 м?, 9/12 этаж;1-комн. квартира, 40 м?;Москва, ЗАО, р-н Дорогомилово, Кутузовский просп., 22к2;4 000 ?/сутки;9 из 12;40 м?;31 мар, 11:31;https://www.cian.ru/rent/flat/235167529/;['https://cdn-p.cian.site/images/6/949/309/kvartira-moskva-kutuzovskiy-prospekt-903949686-4.jpg', 'https://cdn-p.cian.site/images/6/949/309/kvartira-moskva-kutuzovskiy-prospekt-903949686-4.jpg', 'https://cdn-p.cian.site/images/7/949/309/kvartira-moskva-kutuzovskiy-prospekt-903949777-2.jpg', 'https://cdn-p.cian.site/images/5/949/309/kvartira-moskva-kutuzovskiy-prospekt-903949584-2.jpg', 'https://cdn-p.cian.site/images/6/949/309/kvartira-moskva-kutuzovskiy-prospekt-903949656-2.jpg', 'https://www.cian.ru/avatar.axd?i=131572&t=2&p=2']
;;;;;;;;
Пару минут ходьбы от метро;1-комн. квартира, 36 м?;Москва, САО, р-н Аэропорт, ул. Верхняя Масловка, 11;2 000 ?/сутки;6 из 9;36 м?;сегодня, 04:51;https://www.cian.ru/rent/flat/228223745/;['https://cdn-p.cian.site/images/6/222/848/kvartira-moskva-ulica-verhnyaya-maslovka-848222656-4.jpg', 'https://cdn-p.cian.site/images/6/222/848/kvartira-moskva-ulica-verhnyaya-maslovka-848222656-4.jpg', 'https://cdn-p.cian.site/images/6/322/848/kvartira-moskva-ulica-verhnyaya-maslovka-848223682-2.jpg', 'https://cdn-p.cian.site/images/7/222/848/kvartira-moskva-ulica-verhnyaya-maslovka-848222717-2.jpg', 'https://cdn-p.cian.site/images/7/222/848/kvartira-moskva-ulica-verhnyaya-maslovka-848222703-2.jpg']
;;;;;;;;
2-комн. кв., 64 м?, 7/10 этаж;2-комн. квартира, 64 м?;Москва, ЗАО, р-н Дорогомилово, Кутузовский просп., 30;4 000 ?/сутки;7 из 10;64 м?;вчера, 11:40;https://www.cian.ru/rent/flat/230984314/;['https://cdn-p.cian.site/images/3/721/968/kvartira-moskva-kutuzovskiy-prospekt-869127331-4.jpg', 'https://cdn-p.cian.site/images/3/721/968/kvartira-moskva-kutuzovskiy-prospekt-869127331-4.jpg', 'https://cdn-p.cian.site/images/3/721/968/kvartira-moskva-kutuzovskiy-prospekt-869127328-2.jpg', 'https://cdn-p.cian.site/images/2/721/968/kvartira-moskva-kutuzovskiy-prospekt-869127207-2.jpg', 'https://cdn-p.cian.site/images/6/721/968/kvartira-moskva-kutuzovskiy-prospekt-869127633-2.jpg', 'https://www.cian.ru/avatar.axd?i=131572&t=2&p=2']
;;;;;;;;
2-комн. кв., 45 м?, 2/9 этаж;2-комн. квартира, 45 м?;Москва, ЗАО, р-н Тропарево-Никулино, просп. Вернадского, 89К2;3 000 ?/сутки;2 из 9;45 м?;вчера, 13:17;https://www.cian.ru/rent/flat/170479510/;['https://cdn-p.cian.site/images/9/395/624/kvartira-moskva-prospekt-vernadskogo-426593909-4.jpg', 'https://cdn-p.cian.site/images/9/395/624/kvartira-moskva-prospekt-vernadskogo-426593909-4.jpg', 'https://cdn-p.cian.site/images/9/395/624/kvartira-moskva-prospekt-vernadskogo-426593908-2.jpg', 'https://cdn-p.cian.site/images/8/395/624/kvartira-moskva-prospekt-vernadskogo-426593896-2.jpg', 'https://cdn-p.cian.site/images/8/395/624/kvartira-moskva-prospekt-vernadskogo-426593891-2.jpg']
;;;;;;;;
2мин пешком! Успейте АКЦИЯ!;1-комн. квартира, 40 м?;Москва, ЮЗАО, р-н Южное Бутово, ул. Кадырова, 8К1;1 700 ?/сутки;12 из 17;40 м?;сегодня, 16:02;https://www.cian.ru/rent/flat/195275228/;['https://cdn-p.cian.site/images/6/441/775/kvartira-moskva-ulica-kadyrova-577144634-4.jpg', 'https://cdn-p.cian.site/images/6/441/775/kvartira-moskva-ulica-kadyrova-577144634-4.jpg', 'https://cdn-p.cian.site/images/6/441/775/kvartira-moskva-ulica-kadyrova-577144638-2.jpg', 'https://cdn-p.cian.site/images/6/441/775/kvartira-moskva-ulica-kadyrova-577144635-2.jpg', 'https://cdn-p.cian.site/images/6/441/775/kvartira-moskva-ulica-kadyrova-577144632-2.jpg']
;;;;;;;;
1-комн. кв., 24 м?, 9/26 этаж;1-комн. квартира, 24 м?;Москва, САО, р-н Головинский, Кронштадтский бул., 6к2;1 999 ?/сутки;9 из 26;24 м?;сегодня, 13:41;https://www.cian.ru/rent/flat/207952475/;['https://cdn-p.cian.site/images/5/387/459/kvartira-moskva-kronshtadtskiy-bulvar-954783506-4.jpg', 'https://cdn-p.cian.site/images/5/387/459/kvartira-moskva-kronshtadtskiy-bulvar-954783506-4.jpg', 'https://cdn-p.cian.site/images/5/387/459/kvartira-moskva-kronshtadtskiy-bulvar-954783505-2.jpg', 'https://cdn-p.cian.site/images/5/387/459/kvartira-moskva-kronshtadtskiy-bulvar-954783507-2.jpg', 'https://cdn-p.cian.site/images/5/387/459/kvartira-moskva-kronshtadtskiy-bulvar-954783510-2.jpg']
;;;;;;;;
Лучшее предложение Успейте АКЦИЯ!;1-комн. квартира, 40 м?;Москва, ЮАО, р-н Чертаново Центральное, Варшавское ш., 144К1;1 700 ?/сутки;14 из 16;40 м?;вчера, 14:37;https://www.cian.ru/rent/flat/243208597/;['https://cdn-p.cian.site/images/2/413/969/kvartira-moskva-varshavskoe-shosse-969314226-4.jpg', 'https://cdn-p.cian.site/images/2/413/969/kvartira-moskva-varshavskoe-shosse-969314226-4.jpg', 'https://cdn-p.cian.site/images/2/413/969/kvartira-moskva-varshavskoe-shosse-969314225-2.jpg', 'https://cdn-p.cian.site/images/2/413/969/kvartira-moskva-varshavskoe-shosse-969314238-2.jpg', 'https://cdn-p.cian.site/images/2/413/969/kvartira-moskva-varshavskoe-shosse-969314227-2.jpg']
;;;;;;;;
1мин пешком! Успейте АКЦИЯ!;1-комн. квартира, 40 м?;Москва, ЮЗАО, р-н Северное Бутово, бул. Дмитрия Донского, 8;1 700 ?/сутки;9 из 17;40 м?;вчера, 11:46;https://www.cian.ru/rent/flat/199803396/;['https://cdn-p.cian.site/images/8/186/426/kvartira-moskva-bulvar-dmitriya-donskogo-624681892-4.jpg', 'https://cdn-p.cian.site/images/8/186/426/kvartira-moskva-bulvar-dmitriya-donskogo-624681892-4.jpg', 'https://cdn-p.cian.site/images/0/286/426/kvartira-moskva-bulvar-dmitriya-donskogo-624682069-2.jpg', 'https://cdn-p.cian.site/images/0/286/426/kvartira-moskva-bulvar-dmitriya-donskogo-624682070-2.jpg', 'https://cdn-p.cian.site/images/0/286/426/kvartira-moskva-bulvar-dmitriya-donskogo-624682068-2.jpg']
;;;;;;;;
Стильный лофт - заселение 24/7;1-комн. апартаменты, 30 м?;Москва, САО, р-н Хорошевский, Ходынский бул., 20А;3 800 ?/сутки;11 из 15;30 м?;сегодня, 16:13;https://www.cian.ru/rent/flat/250029349/;['https://cdn-p.cian.site/images/91/736/201/posutochnaja-kvartira-moskva-hodynskiy-bulvar-1026371947-4.jpg', 'https://cdn-p.cian.site/images/91/736/201/posutochnaja-kvartira-moskva-hodynskiy-bulvar-1026371947-4.jpg', 'https://cdn-p.cian.site/images/91/736/201/posutochnaja-kvartira-moskva-hodynskiy-bulvar-1026371977-2.jpg', 'https://cdn-p.cian.site/images/91/736/201/posutochnaja-kvartira-moskva-hodynskiy-bulvar-1026371934-2.jpg', 'https://cdn-p.cian.site/images/91/736/201/posutochnaja-kvartira-moskva-hodynskiy-bulvar-1026371933-2.jpg', 'https://www.cian.ru/avatar.axd?i=25444931&t=2&p=2']
;;;;;;;;
1-комн. кв., 39 м?, 10/12 этаж;1-комн. квартира, 39 м?;Москва, ЗАО, р-н Дорогомилово, Кутузовский просп., 22к2;4 000 ?/сутки;10 из 12;39 м?;30 мар, 11:21;https://www.cian.ru/rent/flat/233123057/;['https://cdn-p.cian.site/images/8/456/588/kvartira-moskva-kutuzovskiy-prospekt-885654818-4.jpg', 'https://cdn-p.cian.site/images/8/456/588/kvartira-moskva-kutuzovskiy-prospekt-885654818-4.jpg', 'https://cdn-p.cian.site/images/9/456/588/kvartira-moskva-kutuzovskiy-prospekt-885654954-2.jpg', 'https://cdn-p.cian.site/images/9/456/588/kvartira-moskva-kutuzovskiy-prospekt-885654974-2.jpg', 'https://cdn-p.cian.site/images/0/556/588/kvartira-moskva-kutuzovskiy-prospekt-885655065-2.jpg', 'https://www.cian.ru/avatar.axd?i=131572&t=2&p=2']
;;;;;;;;
Уникальность. Стиль. Комфорт;2-комн. квартира, 58 м?;Москва, ЦАО, р-н Арбат, ул. Новый Арбат, 10;5 900 ?/сутки;6 из 24;58 м?;сегодня, 11:51;https://www.cian.ru/rent/flat/231742199/;['https://cdn-p.cian.site/images/0/205/478/kvartira-moskva-ulica-novyy-arbat-874502018-4.jpg', 'https://cdn-p.cian.site/images/0/205/478/kvartira-moskva-ulica-novyy-arbat-874502018-4.jpg', 'https://cdn-p.cian.site/images/0/205/478/kvartira-moskva-ulica-novyy-arbat-874502045-2.jpg', 'https://cdn-p.cian.site/images/7/105/478/kvartira-moskva-ulica-novyy-arbat-874501737-2.jpg', 'https://cdn-p.cian.site/images/0/205/478/kvartira-moskva-ulica-novyy-arbat-874502023-2.jpg', 'https://www.cian.ru/avatar.axd?i=366151&t=2&p=2']
;;;;;;;;
Всего 2 минуты пешком от метро;1-комн. квартира, 40 м?;Москва, ЦАО, р-н Тверской, 2-й Лесной пер., 10;2 500 ?/сутки;3 из 7;40 м?;сегодня, 06:11;https://www.cian.ru/rent/flat/245735062/;['https://cdn-p.cian.site/images/6/399/889/posutochnaja-kvartira-moskva-2y-lesnoy-pereulok-988993667-4.jpg', 'https://cdn-p.cian.site/images/6/399/889/posutochnaja-kvartira-moskva-2y-lesnoy-pereulok-988993667-4.jpg', 'https://cdn-p.cian.site/images/6/399/889/posutochnaja-kvartira-moskva-2y-lesnoy-pereulok-988993663-2.jpg', 'https://cdn-p.cian.site/images/6/399/889/posutochnaja-kvartira-moskva-2y-lesnoy-pereulok-988993662-2.jpg', 'https://cdn-p.cian.site/images/6/399/889/posutochnaja-kvartira-moskva-2y-lesnoy-pereulok-988993664-2.jpg', 'https://www.cian.ru/avatar.axd?i=120221&t=2&p=2']
;;;;;;;;
2-комнатная Квартира!Дешево!;2-комн. квартира, 53 м?;Москва, СВАО, р-н Марьина роща, ул. Сущевский Вал, 69;2 788 ?/сутки;9 из 12;53 м?;сегодня, 05:57;https://www.cian.ru/rent/flat/181643157/;['https://cdn-p.cian.site/images/1/927/764/kvartira-moskva-ulica-sushcevskiy-val-467729149-4.jpg', 'https://cdn-p.cian.site/images/1/927/764/kvartira-moskva-ulica-sushcevskiy-val-467729149-4.jpg', 'https://cdn-p.cian.site/images/1/927/764/kvartira-moskva-ulica-sushcevskiy-val-467729150-2.jpg', 'https://cdn-p.cian.site/images/1/927/764/kvartira-moskva-ulica-sushcevskiy-val-467729145-2.jpg', 'https://cdn-p.cian.site/images/1/927/764/kvartira-moskva-ulica-sushcevskiy-val-467729148-2.jpg', 'https://www.cian.ru/avatar.axd?i=234647&t=2&p=2']
;;;;;;;;
Самая уютная, комфортная квартира;1-комн. квартира, 50 м?;Москва, ЦАО, р-н Пресненский, ул. Подвойского, 10;3 000 ?/сутки;1 из 5;50 м?;сегодня, 07:21;https://www.cian.ru/rent/flat/186069691/;['https://cdn-p.cian.site/images/5/830/394/kvartira-moskva-ulica-podvoyskogo-493038593-4.jpg', 'https://cdn-p.cian.site/images/5/830/394/kvartira-moskva-ulica-podvoyskogo-493038593-4.jpg', 'https://cdn-p.cian.site/images/5/830/394/kvartira-moskva-ulica-podvoyskogo-493038598-2.jpg', 'https://cdn-p.cian.site/images/5/830/394/kvartira-moskva-ulica-podvoyskogo-493038596-2.jpg', 'https://cdn-p.cian.site/images/5/830/394/kvartira-moskva-ulica-podvoyskogo-493038597-2.jpg', 'https://www.cian.ru/avatar.axd?i=120221&t=2&p=2']
;;;;;;;;
Самая уютная, комфортная квартира;1-комн. квартира, 35 м?;Москва, ЦАО, р-н Арбат, Новинский бул., 14;3 490 ?/сутки;1 из 8;35 м?;сегодня, 15:04;https://www.cian.ru/rent/flat/159572827/;['https://cdn-p.cian.site/images/3/433/336/kvartira-moskva-novinskiy-bulvar-633334322-4.jpg', 'https://cdn-p.cian.site/images/3/433/336/kvartira-moskva-novinskiy-bulvar-633334322-4.jpg', 'https://cdn-p.cian.site/images/3/433/336/kvartira-moskva-novinskiy-bulvar-633334323-2.jpg', 'https://cdn-p.cian.site/images/3/433/336/kvartira-moskva-novinskiy-bulvar-633334330-2.jpg', 'https://cdn-p.cian.site/images/3/433/336/kvartira-moskva-novinskiy-bulvar-633334325-2.jpg', 'https://www.cian.ru/avatar.axd?i=120221&t=2&p=2']
;;;;;;;;
Апартаменты-студия, 38 м?, 6/10 этаж;Апартаменты-студия, 38 м?;Москва, ЗАО, р-н Дорогомилово, Кутузовский просп., 24;4 000 ?/сутки;6 из 10;38 м?;30 мар, 11:36;https://www.cian.ru/rent/flat/219859348/;['https://cdn-p.cian.site/images/0/113/967/kvartira-moskva-kutuzovskiy-prospekt-769311021-4.jpg', 'https://cdn-p.cian.site/images/0/113/967/kvartira-moskva-kutuzovskiy-prospekt-769311021-4.jpg', 'https://cdn-p.cian.site/images/0/113/967/kvartira-moskva-kutuzovskiy-prospekt-769311024-2.jpg', 'https://cdn-p.cian.site/images/3/213/967/kvartira-moskva-kutuzovskiy-prospekt-769312337-2.jpg', 'https://cdn-p.cian.site/images/2/213/967/kvartira-moskva-kutuzovskiy-prospekt-769312249-2.jpg', 'https://www.cian.ru/avatar.axd?i=131572&t=2&p=2']
;;;;;;;;
Французский прованс;1-комн. квартира, 35 м?;Москва, САО, р-н Сокол, Песчаный пер., 4;2 800 ?/сутки;1 из 12;35 м?;сегодня, 07:37;https://www.cian.ru/rent/flat/250033450/;['https://cdn-p.cian.site/images/29/676/201/posutochnaja-kvartira-moskva-peschanyy-pereulok-1026769262-4.jpg', 'https://cdn-p.cian.site/images/29/676/201/posutochnaja-kvartira-moskva-peschanyy-pereulok-1026769262-4.jpg', 'https://cdn-p.cian.site/images/29/676/201/posutochnaja-kvartira-moskva-peschanyy-pereulok-1026769281-2.jpg', 'https://cdn-p.cian.site/images/29/676/201/posutochnaja-kvartira-moskva-peschanyy-pereulok-1026769279-2.jpg', 'https://cdn-p.cian.site/images/29/676/201/posutochnaja-kvartira-moskva-peschanyy-pereulok-1026769288-2.jpg', 'https://www.cian.ru/avatar.axd?i=26851101&t=2&p=2']
;;;;;;;;
2-комн. кв., 45 м?, 4/5 этаж;2-комн. квартира, 45 м?;Москва, ЗАО, р-н Филевский парк, ул. Алябьева, 1;3 200 ?/сутки;4 из 5;45 м?;сегодня, 08:04;https://www.cian.ru/rent/flat/249870619/;['https://cdn-p.cian.site/images/74/499/201/posutochnaja-kvartira-moskva-ulica-alyabeva-1029944791-4.jpg', 'https://cdn-p.cian.site/images/74/499/201/posutochnaja-kvartira-moskva-ulica-alyabeva-1029944791-4.jpg', 'https://cdn-p.cian.site/images/84/499/201/posutochnaja-kvartira-moskva-ulica-alyabeva-1029944824-2.jpg', 'https://cdn-p.cian.site/images/84/499/201/posutochnaja-kvartira-moskva-ulica-alyabeva-1029944825-2.jpg', 'https://cdn-p.cian.site/images/84/499/201/posutochnaja-kvartira-moskva-ulica-alyabeva-1029944821-2.jpg', 'https://www.cian.ru/avatar.axd?i=26851101&t=2&p=2']
;;;;;;;;
2 минуты от метро.Бурденко рядом.;1-комн. квартира, 23 м?;Москва, ЦАО, р-н Тверской, 3-я Тверская-Ямская ул., 56/6;2 600 ?/сутки;4 из 5;23 м?;сегодня, 15:41;https://www.cian.ru/rent/flat/252778349/;['https://cdn-p.cian.site/images/20/780/501/posutochnaja-kvartira-moskva-3ya-tverskayayamskaya-ulica-1050870278-4.jpg', 'https://cdn-p.cian.site/images/20/780/501/posutochnaja-kvartira-moskva-3ya-tverskayayamskaya-ulica-1050870278-4.jpg', 'https://cdn-p.cian.site/images/20/780/501/posutochnaja-kvartira-moskva-3ya-tverskayayamskaya-ulica-1050870276-2.jpg', 'https://cdn-p.cian.site/images/20/780/501/posutochnaja-kvartira-moskva-3ya-tverskayayamskaya-ulica-1050870274-2.jpg', 'https://cdn-p.cian.site/images/20/780/501/posutochnaja-kvartira-moskva-3ya-tverskayayamskaya-ulica-1050870273-2.jpg', 'https://www.cian.ru/avatar.axd?i=120221&t=2&p=2']
;;;;;;;;
Цвет настроения синий;1-комн. квартира, 26 м?;Москва, ЗАО, р-н Филевский парк, 2-я Филевская ул., 5К3;2 800 ?/сутки;1 из 9;26 м?;сегодня, 04:45;https://www.cian.ru/rent/flat/244422343/;['https://cdn-p.cian.site/images/5/795/879/posutochnaja-kvartira-moskva-2ya-filevskaya-ulica-978597533-4.jpg', 'https://cdn-p.cian.site/images/5/795/879/posutochnaja-kvartira-moskva-2ya-filevskaya-ulica-978597533-4.jpg', 'https://cdn-p.cian.site/images/5/795/879/posutochnaja-kvartira-moskva-2ya-filevskaya-ulica-978597594-2.jpg', 'https://cdn-p.cian.site/images/6/795/879/posutochnaja-kvartira-moskva-2ya-filevskaya-ulica-978597619-2.jpg', 'https://cdn-p.cian.site/images/5/795/879/posutochnaja-kvartira-moskva-2ya-filevskaya-ulica-978597575-2.jpg', 'https://www.cian.ru/avatar.axd?i=26851101&t=2&p=2']
;;;;;;;;
NEW стильная студия для 2 гостей;1-комн. квартира, 30 м?;Москва, САО, р-н Хорошевский, Ходынский бул., 20А;3 500 ?/сутки;10 из 15;30 м?;сегодня, 16:13;https://www.cian.ru/rent/flat/252517638/;['https://cdn-p.cian.site/images/27/438/401/posutochnaja-kvartira-moskva-hodynskiy-bulvar-1048347226-4.jpg', 'https://cdn-p.cian.site/images/27/438/401/posutochnaja-kvartira-moskva-hodynskiy-bulvar-1048347226-4.jpg', 'https://cdn-p.cian.site/images/27/438/401/posutochnaja-kvartira-moskva-hodynskiy-bulvar-1048347226-2.jpg', 'https://cdn-p.cian.site/images/37/438/401/posutochnaja-kvartira-moskva-hodynskiy-bulvar-1048347328-2.jpg', 'https://cdn-p.cian.site/images/27/438/401/posutochnaja-kvartira-moskva-hodynskiy-bulvar-1048347260-2.jpg', 'https://www.cian.ru/avatar.axd?i=25444931&t=2&p=2']
;;;;;;;;
2-комн. кв., 55 м?, 4/8 этаж;2-комн. квартира, 55 м?;Москва, ЦАО, р-н Таганский, Николоямская ул., 39/43К2;2 500 ?/сутки;4 из 8;55 м?;сегодня, 11:17;https://www.cian.ru/rent/flat/163080101/;['https://cdn-p.cian.site/images/6/059/518/kvartira-moskva-nikoloyamskaya-ulica-815950659-4.jpg', 'https://cdn-p.cian.site/images/6/059/518/kvartira-moskva-nikoloyamskaya-ulica-815950659-4.jpg', 'https://cdn-p.cian.site/images/6/059/518/kvartira-moskva-nikoloyamskaya-ulica-815950671-2.jpg', 'https://cdn-p.cian.site/images/6/059/518/kvartira-moskva-nikoloyamskaya-ulica-815950665-2.jpg', 'https://cdn-p.cian.site/images/6/059/518/kvartira-moskva-nikoloyamskaya-ulica-815950685-2.jpg', 'https://www.cian.ru/avatar.axd?i=119445&t=2&p=2']
;;;;;;;;
4-комн. кв., 290 м?, 38/38 этаж;4-комн. квартира, 290 м?;Москва, ЗАО, р-н Раменки, Мосфильмовская ул., 70к1;150 000 ?/сутки;38 из 38;290 м?;сегодня, 03:50;https://www.cian.ru/rent/flat/240846962/;['https://cdn-p.cian.site/images/5/144/059/kvartira-moskva-mosfilmovskaya-ulica-950441546-4.jpg', 'https://cdn-p.cian.site/images/5/144/059/kvartira-moskva-mosfilmovskaya-ulica-950441546-4.jpg', 'https://cdn-p.cian.site/images/5/144/059/kvartira-moskva-mosfilmovskaya-ulica-950441540-2.jpg', 'https://cdn-p.cian.site/images/5/144/059/kvartira-moskva-mosfilmovskaya-ulica-950441538-2.jpg', 'https://cdn-p.cian.site/images/5/144/059/kvartira-moskva-mosfilmovskaya-ulica-950441541-2.jpg', 'https://www.cian.ru/avatar.axd?i=118588&t=2&p=2']
;;;;;;;;
Посуточная Аренда;2-комн. квартира, 50 м?;Москва, ЦАО, р-н Хамовники, Смоленский бул., 6-8;4 200 ?/сутки;4 из 17;50 м?;сегодня, 13:36;https://www.cian.ru/rent/flat/248598764/;['https://cdn-p.cian.site/images/48/853/101/posutochnaja-kvartira-moskva-smolenskiy-bulvar-1013588471-4.jpg', 'https://cdn-p.cian.site/images/48/853/101/posutochnaja-kvartira-moskva-smolenskiy-bulvar-1013588471-4.jpg', 'https://cdn-p.cian.site/images/48/853/101/posutochnaja-kvartira-moskva-smolenskiy-bulvar-1013588473-2.jpg', 'https://cdn-p.cian.site/images/48/853/101/posutochnaja-kvartira-moskva-smolenskiy-bulvar-1013588472-2.jpg', 'https://cdn-p.cian.site/images/48/853/101/posutochnaja-kvartira-moskva-smolenskiy-bulvar-1013588470-2.jpg']
;;;;;;;;
